content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
"No voy a poder estar presente, surgieron cosas en la casa pero ahí cuando se repartan, lo que sobra es mío. De antemano pido disculpas 🥺",0.37,0.8,1.04,1.05,1.2,0.32,1.52,1.11,0.32,0.78,0.59,0.35,0.87,0.92,0.43,0.42,0.79,0.43,0.82,1.41
wena los k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es una buena razón que apoyo,0.19,0.5,0.83,0.32,0.7,0.25,0.6,0.36,0.56,0.62,0.47,0.28,0.54,0.3,0.23,0.22,0.25,0.76,0.26,0
Y estemos con energia,0,0,0,0,0.2,0,0.18,0,0,0.19,0,0,0,0.18,0,0.13,0.15,0,0,0
Yo digo que a las 16 para asegurar que todos hayamos comido,0.25,0.16,0.18,0.43,0,0.33,0.39,0.23,0,0.61,0.15,0,0.53,0.39,0.6,0.29,0.33,0.23,0.34,1.09
Yo me adapto a la hora que digan,0,0,0.62,0.24,0,0,1.12,0,0,0,0.18,0,0.2,0,0.17,0,0.19,0.27,0,0.58
"Buena buena gente
Hoy a cual de esas horas nos juntamos?",0.53,0,0,0.3,0.32,0.23,0.28,0.33,0,0.29,0.22,0.26,0.25,0.27,0,0.2,0,0.35,0,0.32
"Ya chiquillos, coordinemonos los que podamos para poder empezar a trabajar en esto y aprovechar la proxima semana para trabajar",0.38,0.33,1.1,0.86,1.53,0.16,1.97,0.7,0.69,1.03,0.47,0.37,0.72,0.39,0.3,0.29,0.5,0.47,0.69,0.54
Para ya dividir para vencer y cerrar este ramo,0.23,0,0.17,0.59,0.39,0.6,0.54,0.21,0.31,0.37,0.14,0.17,0.16,0.89,0.14,0.52,0,0.63,0.16,0.26
"Pero los que podamos este finde, reunamonos",0,0,0.17,0.39,0.2,0.3,0.54,0.21,0.16,0.19,0,0,0.33,0.18,0.14,0,0.3,0,0.31,0.52
"yo estoy hasta el dick supremo con GPI y paralelas,",0.12,0.15,0.17,0,0,0.3,0.54,0,0,0.19,0.28,0.17,0.33,0.71,0.27,0.39,0.15,0.42,0,0
El fin de semana tenemos que intentar juntarnos un poco,0,0,0.17,0.39,0.2,0.15,0.54,0,0.16,0.37,0.14,0.17,0.16,0.18,0.55,0.13,0.15,0.21,0.16,0.26
Es velda,0,0,0.17,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0
"Tambien, pero hay que ver que puntos separar cachai?",0.23,0.3,0,0.2,0.2,0,0.9,0.21,0,0.37,0.14,0,0.65,0.18,0.41,0,0.61,0.21,0,0.52
"si, pero es mas facil y comodo separar los puntos",0.17,0,0.25,0.88,0.62,0.22,0.54,0,0.25,0.28,0.63,0.77,0,0.27,0.21,0.39,0.23,0.68,0,0.63
"Igual considero que lo ideal en este caso es avanzar todos juntos, para tener ideas en todos los procesos de la creación y desarrollo del departamento",0.12,0.16,0.52,1.62,0.82,0.46,1.12,0.66,0.32,1.17,0.44,0.18,0.51,0.74,0.85,0.14,0.79,0.22,0.16,1.33
Encontre varias paginas complementarias,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
Cómo procedemos entonces?,0.12,0.15,0,0.2,0.2,0.15,0,0,0.16,0,0.14,0.34,0,0.18,0.14,0.13,0.15,0.21,0,0
Dicho por la profe,0,0,0,0.2,0.39,0.15,0.18,0,0,0.37,0.14,0.17,0.16,0,0.27,0.13,0.15,0.21,0.16,0.26
"Exactamente, en base a lo que hemos visto en clase",0,0.15,0,0,0.2,0.15,0.54,0,0,0,0,0,0.33,0,0.14,0,0.15,0,0.16,0.26
Nuestro proyecto es crear el departamento de recursos humanos?,0.23,0,0.33,0,0.2,0.3,0.54,0.21,0.47,0,0,0,0.33,0,0.14,0.13,0.3,0,0.16,0
O sea que si no recibimos info,0.39,0,0,0.22,0.23,0.17,0.82,0.49,0.18,0,0.16,0.19,0.56,0,0.16,0.3,0.35,0.49,0.18,0.28
De hecho lo pregunte en clases por nuestro caso,0.12,0.3,0,0.2,0,0.3,0.36,0,0,0.37,0,0.17,0,0.18,0.27,0.13,0.46,0,0.31,0.79
Lo dijo el Lunes,0,0,0,0.2,0,0,0.18,0,0,0,0.14,0,0,0,0.14,0,0.15,0,0,0
Mejor pregúntale a la profe que hacer en nuestro caso que no nos dieron la ifmroqmciln,0.26,0.17,0.56,0.44,0,0.17,1.61,0.24,0.36,0.84,0.16,0.38,0.55,0.4,0.46,0.15,0.68,0.97,0.35,0.83
Estas seguro?,0,0,0,0,0.43,0.3,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0
No se si la clase pasada habrán cambiado las cosas,0,0.32,0.17,0,0,0.16,0.39,0,0.16,0.2,0,0,0,0,0.14,0,0.16,0,0.49,0.29
Ya que no me respondieron nunca la información,0,0,0,0.2,0,0.15,0.54,0,0,0.37,0,0.17,0.49,0.35,0.14,0,0.15,0,0.31,0.26
Se supone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El 14 hay que presentar,0,0,0,0,0,0,0.18,0,0,0,0,0,0.16,0,0.14,0,0.15,0,0,0
Tenemos que hacer un departamenteo de recursos humanos para una gran empresa como seria cmpc,0.35,0.45,0.17,0,0.39,0.45,0.72,0,0.31,0.56,0.28,0.34,0.82,0.18,0.55,0.26,0.61,0.63,0.31,0.52
para empezar a ordenarme,0.12,0,0,0.2,0,0.15,0,0.21,0,0.19,0,0,0,0,0,0,0,0,0,0.26
"Que pasa gente, vengo a consultar si hay algo que hacer respecto al proyecto",0,0.16,0.18,0.21,0.42,0.16,0.58,0.23,0.17,0.8,0.3,0.18,0.35,0.19,0.29,0.14,0.49,0.46,0,0.27
"o, a donde le mandaron el video?",0,0,0,0.39,0,0,0.54,0,0,0.37,0,0,0,0.18,0,0,0,0,0.16,0.52
cuál es el correo de la profe?,0,0.15,0.17,0.39,0,0.15,0.18,0,0,0.37,0.14,0.34,0.16,0.18,0.14,0,0.15,0,0.31,0.26
Vamos a tener que hacer el modelo de negocio...,0,0.55,0.61,0.72,0.49,0,0.88,0,0.39,0.46,0.17,0.21,0.6,0.65,0.5,0.32,0.37,0.8,0.19,0.57
ah lo de la clase anterior,0,0,0.17,0,0,0.3,0.18,0,0,0.19,0,0,0,0.18,0.14,0,0,0,0.16,0
habia que preparar algo ? .-.,0.14,0.19,0,0.24,0,0.19,0.45,0.27,0,0.23,0,0,0.2,0,0.17,0,0.57,0.27,0.2,0.29
en ese caso hubiera hecho un mejor trabajo xD,0.14,0,0.41,0.24,0.25,0,0.66,0.26,0.2,0.46,0.17,0,0,0,0,0,0.19,0.8,0,0.57
Pero en la programación decía hoy,0.35,0.3,0.17,0.2,0.59,0.15,0,0,0,0,0.14,0.17,0.49,0.18,0.14,0.26,0,0.21,0.47,0
Durante la clase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es que la profe subió varias veces el jueves,0.23,0.15,0.33,0.2,0.2,0.15,0.18,0.43,0.31,0.56,0.14,0.17,0.49,0.18,0.41,0,0.3,0.42,0.16,0.79
. (por eso),0,0.15,0,0,0.2,0.15,0.18,0,0,0.19,0,0,0.16,0,0,0.13,0,0,0,0.26
igual pregunté a otros locos y me dijeron que era hoy,0,0.34,0.36,0.92,0.21,0.35,0.62,0.46,0.16,0.61,0.15,0.19,0.19,0.19,0.15,0.31,0.33,0.67,0.17,0
Yo asumo que el plazo máximo es hoy,0.12,0.15,0,0.39,0.2,0.15,0.54,0,0.16,0.19,0,0,0.33,0.18,0.14,0,0.3,0,0.47,0.52
Creo que hasta el jueves,0,0,0,0,0,0,0.36,0,0,0.19,0,0,0.16,0,0.14,0,0.15,0,0,0
De lo que sea,0.12,0,0,0,0,0,0.18,0.21,0,0,0,0,0.16,0,0.14,0.13,0.3,0,0,0
Pd: El video podia ser un tutorial de cualquier wea?,0.35,0.3,0.5,0.39,0.39,0.3,0.72,0.21,0.16,0.75,0,0.17,0,0.18,0.27,0.26,0.3,0.63,0.79,0.52
En una parte que definio la profe o se manda,0.46,0.15,0.17,0.39,0.2,0.15,0.54,0.21,0.31,0.56,0.14,0.17,0.33,0.18,0.27,0.26,0.3,0.42,0,0.26
Creo que se sube,0,0,0,0,0,0,0.36,0,0,0,0,0,0.16,0,0.14,0,0.15,0,0,0
1 de 2,0,0,0.17,0,0,0,0.18,0,0,0,0,0,0,0.18,0,0,0,0.21,0.16,0
2. Ser mina,0,0,0.17,0,0,0.15,0,0.21,0.16,0,0,0.17,0,0,0,0.13,0,0.21,0,0
tutorial de como darle en gusto a Magna,0.29,0.19,0.21,0.73,0.76,0.19,0.22,0,0,0.23,0.35,0,0.2,0.44,0.17,0.16,0.38,0,0.39,0.86
GPI te tiene de la perra,0,0.25,0.24,0.36,0,0.55,0,0,0,0.53,0,0,0,0.5,0.19,0,0,0,0,1.44
Pensabas que era por grupo?,0,0.15,0.17,0,0.2,0.15,0.18,0,0,0.37,0,0,0.49,0,0.14,0.13,0.15,0.21,0.16,0
a ponerme creativo,0.19,0.5,0.28,0.65,0,0,0.3,0.36,0.28,0,0.23,0.28,0.27,0,0.23,0,0,0.76,0,0
vienes ?,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.26
quedaria lo demas :u,0.12,0,0,0,0,0,0.18,0,0,0,0,0,0.16,0,0.27,0.13,0.3,0.21,0,0
"ya repartimos, con el ramiro hacemos la portada",0,0.15,0.17,0.39,0.2,0.3,0.36,0.21,0,0,0.28,0.17,0.33,0.18,0.27,0,0.46,0.21,0,0.79
"No voy a poder estar presente, surgieron cosas en la casa pero ahí cuando se repartan, lo que sobra es mío. De antemano pido disculpas 🥺",0.37,0.8,1.04,1.05,1.2,0.32,1.52,1.11,0.32,0.78,0.59,0.35,0.87,0.92,0.43,0.42,0.79,0.43,0.82,1.41
wena los k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es una buena razón que apoyo,0.19,0.5,0.83,0.32,0.7,0.25,0.6,0.36,0.56,0.62,0.47,0.28,0.54,0.3,0.23,0.22,0.25,0.76,0.26,0
Y estemos con energia,0,0,0,0,0.2,0,0.18,0,0,0.19,0,0,0,0.18,0,0.13,0.15,0,0,0
Yo digo que a las 16 para asegurar que todos hayamos comido,0.25,0.16,0.18,0.43,0,0.33,0.39,0.23,0,0.61,0.15,0,0.53,0.39,0.6,0.29,0.33,0.23,0.34,1.09
Yo me adapto a la hora que digan,0,0,0.62,0.24,0,0,1.12,0,0,0,0.18,0,0.2,0,0.17,0,0.19,0.27,0,0.58
"Buena buena gente
Hoy a cual de esas horas nos juntamos?",0.53,0,0,0.3,0.32,0.23,0.28,0.33,0,0.29,0.22,0.26,0.25,0.27,0,0.2,0,0.35,0,0.32
"Ya chiquillos, coordinemonos los que podamos para poder empezar a trabajar en esto y aprovechar la proxima semana para trabajar",0.38,0.33,1.1,0.86,1.53,0.16,1.97,0.7,0.69,1.03,0.47,0.37,0.72,0.39,0.3,0.29,0.5,0.47,0.69,0.54
Para ya dividir para vencer y cerrar este ramo,0.23,0,0.17,0.59,0.39,0.6,0.54,0.21,0.31,0.37,0.14,0.17,0.16,0.89,0.14,0.52,0,0.63,0.16,0.26
"Pero los que podamos este finde, reunamonos",0,0,0.17,0.39,0.2,0.3,0.54,0.21,0.16,0.19,0,0,0.33,0.18,0.14,0,0.3,0,0.31,0.52
"yo estoy hasta el dick supremo con GPI y paralelas,",0.12,0.15,0.17,0,0,0.3,0.54,0,0,0.19,0.28,0.17,0.33,0.71,0.27,0.39,0.15,0.42,0,0
El fin de semana tenemos que intentar juntarnos un poco,0,0,0.17,0.39,0.2,0.15,0.54,0,0.16,0.37,0.14,0.17,0.16,0.18,0.55,0.13,0.15,0.21,0.16,0.26
Es velda,0,0,0.17,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0
"Tambien, pero hay que ver que puntos separar cachai?",0.23,0.3,0,0.2,0.2,0,0.9,0.21,0,0.37,0.14,0,0.65,0.18,0.41,0,0.61,0.21,0,0.52
"si, pero es mas facil y comodo separar los puntos",0.17,0,0.25,0.88,0.62,0.22,0.54,0,0.25,0.28,0.63,0.77,0,0.27,0.21,0.39,0.23,0.68,0,0.63
"Igual considero que lo ideal en este caso es avanzar todos juntos, para tener ideas en todos los procesos de la creación y desarrollo del departamento",0.12,0.16,0.52,1.62,0.82,0.46,1.12,0.66,0.32,1.17,0.44,0.18,0.51,0.74,0.85,0.14,0.79,0.22,0.16,1.33
Encontre varias paginas complementarias,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
Cómo procedemos entonces?,0.12,0.15,0,0.2,0.2,0.15,0,0,0.16,0,0.14,0.34,0,0.18,0.14,0.13,0.15,0.21,0,0
Dicho por la profe,0,0,0,0.2,0.39,0.15,0.18,0,0,0.37,0.14,0.17,0.16,0,0.27,0.13,0.15,0.21,0.16,0.26
"Exactamente, en base a lo que hemos visto en clase",0,0.15,0,0,0.2,0.15,0.54,0,0,0,0,0,0.33,0,0.14,0,0.15,0,0.16,0.26
Nuestro proyecto es crear el departamento de recursos humanos?,0.23,0,0.33,0,0.2,0.3,0.54,0.21,0.47,0,0,0,0.33,0,0.14,0.13,0.3,0,0.16,0
O sea que si no recibimos info,0.39,0,0,0.22,0.23,0.17,0.82,0.49,0.18,0,0.16,0.19,0.56,0,0.16,0.3,0.35,0.49,0.18,0.28
De hecho lo pregunte en clases por nuestro caso,0.12,0.3,0,0.2,0,0.3,0.36,0,0,0.37,0,0.17,0,0.18,0.27,0.13,0.46,0,0.31,0.79
Lo dijo el Lunes,0,0,0,0.2,0,0,0.18,0,0,0,0.14,0,0,0,0.14,0,0.15,0,0,0
Mejor pregúntale a la profe que hacer en nuestro caso que no nos dieron la ifmroqmciln,0.26,0.17,0.56,0.44,0,0.17,1.61,0.24,0.36,0.84,0.16,0.38,0.55,0.4,0.46,0.15,0.68,0.97,0.35,0.83
Estas seguro?,0,0,0,0,0.43,0.3,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0
No se si la clase pasada habrán cambiado las cosas,0,0.32,0.17,0,0,0.16,0.39,0,0.16,0.2,0,0,0,0,0.14,0,0.16,0,0.49,0.29
Ya que no me respondieron nunca la información,0,0,0,0.2,0,0.15,0.54,0,0,0.37,0,0.17,0.49,0.35,0.14,0,0.15,0,0.31,0.26
Se supone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El 14 hay que presentar,0,0,0,0,0,0,0.18,0,0,0,0,0,0.16,0,0.14,0,0.15,0,0,0
Tenemos que hacer un departamenteo de recursos humanos para una gran empresa como seria cmpc,0.35,0.45,0.17,0,0.39,0.45,0.72,0,0.31,0.56,0.28,0.34,0.82,0.18,0.55,0.26,0.61,0.63,0.31,0.52
para empezar a ordenarme,0.12,0,0,0.2,0,0.15,0,0.21,0,0.19,0,0,0,0,0,0,0,0,0,0.26
"Que pasa gente, vengo a consultar si hay algo que hacer respecto al proyecto",0,0.16,0.18,0.21,0.42,0.16,0.58,0.23,0.17,0.8,0.3,0.18,0.35,0.19,0.29,0.14,0.49,0.46,0,0.27
"o, a donde le mandaron el video?",0,0,0,0.39,0,0,0.54,0,0,0.37,0,0,0,0.18,0,0,0,0,0.16,0.52
cuál es el correo de la profe?,0,0.15,0.17,0.39,0,0.15,0.18,0,0,0.37,0.14,0.34,0.16,0.18,0.14,0,0.15,0,0.31,0.26
Vamos a tener que hacer el modelo de negocio...,0,0.55,0.61,0.72,0.49,0,0.88,0,0.39,0.46,0.17,0.21,0.6,0.65,0.5,0.32,0.37,0.8,0.19,0.57
ah lo de la clase anterior,0,0,0.17,0,0,0.3,0.18,0,0,0.19,0,0,0,0.18,0.14,0,0,0,0.16,0
habia que preparar algo ? .-.,0.14,0.19,0,0.24,0,0.19,0.45,0.27,0,0.23,0,0,0.2,0,0.17,0,0.57,0.27,0.2,0.29
en ese caso hubiera hecho un mejor trabajo xD,0.14,0,0.41,0.24,0.25,0,0.66,0.26,0.2,0.46,0.17,0,0,0,0,0,0.19,0.8,0,0.57
Pero en la programación decía hoy,0.35,0.3,0.17,0.2,0.59,0.15,0,0,0,0,0.14,0.17,0.49,0.18,0.14,0.26,0,0.21,0.47,0
Durante la clase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es que la profe subió varias veces el jueves,0.23,0.15,0.33,0.2,0.2,0.15,0.18,0.43,0.31,0.56,0.14,0.17,0.49,0.18,0.41,0,0.3,0.42,0.16,0.79
. (por eso),0,0.15,0,0,0.2,0.15,0.18,0,0,0.19,0,0,0.16,0,0,0.13,0,0,0,0.26
igual pregunté a otros locos y me dijeron que era hoy,0,0.34,0.36,0.92,0.21,0.35,0.62,0.46,0.16,0.61,0.15,0.19,0.19,0.19,0.15,0.31,0.33,0.67,0.17,0
Yo asumo que el plazo máximo es hoy,0.12,0.15,0,0.39,0.2,0.15,0.54,0,0.16,0.19,0,0,0.33,0.18,0.14,0,0.3,0,0.47,0.52
Creo que hasta el jueves,0,0,0,0,0,0,0.36,0,0,0.19,0,0,0.16,0,0.14,0,0.15,0,0,0
De lo que sea,0.12,0,0,0,0,0,0.18,0.21,0,0,0,0,0.16,0,0.14,0.13,0.3,0,0,0
Pd: El video podia ser un tutorial de cualquier wea?,0.35,0.3,0.5,0.39,0.39,0.3,0.72,0.21,0.16,0.75,0,0.17,0,0.18,0.27,0.26,0.3,0.63,0.79,0.52
En una parte que definio la profe o se manda,0.46,0.15,0.17,0.39,0.2,0.15,0.54,0.21,0.31,0.56,0.14,0.17,0.33,0.18,0.27,0.26,0.3,0.42,0,0.26
Creo que se sube,0,0,0,0,0,0,0.36,0,0,0,0,0,0.16,0,0.14,0,0.15,0,0,0
1 de 2,0,0,0.17,0,0,0,0.18,0,0,0,0,0,0,0.18,0,0,0,0.21,0.16,0
2. Ser mina,0,0,0.17,0,0,0.15,0,0.21,0.16,0,0,0.17,0,0,0,0.13,0,0.21,0,0
tutorial de como darle en gusto a Magna,0.29,0.19,0.21,0.73,0.76,0.19,0.22,0,0,0.23,0.35,0,0.2,0.44,0.17,0.16,0.38,0,0.39,0.86
GPI te tiene de la perra,0,0.25,0.24,0.36,0,0.55,0,0,0,0.53,0,0,0,0.5,0.19,0,0,0,0,1.44
Pensabas que era por grupo?,0,0.15,0.17,0,0.2,0.15,0.18,0,0,0.37,0,0,0.49,0,0.14,0.13,0.15,0.21,0.16,0
a ponerme creativo,0.19,0.5,0.28,0.65,0,0,0.3,0.36,0.28,0,0.23,0.28,0.27,0,0.23,0,0,0.76,0,0
vienes ?,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.26
quedaria lo demas :u,0.12,0,0,0,0,0,0.18,0,0,0,0,0,0.16,0,0.27,0.13,0.3,0.21,0,0
"ya repartimos, con el ramiro hacemos la portada",0,0.15,0.17,0.39,0.2,0.3,0.36,0.21,0,0,0.28,0.17,0.33,0.18,0.27,0,0.46,0.21,0,0.79
"No voy a poder estar presente, surgieron cosas en la casa pero ahí cuando se repartan, lo que sobra es mío. De antemano pido disculpas 🥺",0.37,0.8,1.04,1.05,1.2,0.32,1.52,1.11,0.32,0.78,0.59,0.35,0.87,0.92,0.43,0.42,0.79,0.43,0.82,1.41
wena los k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es una buena razón que apoyo,0.19,0.5,0.83,0.32,0.7,0.25,0.6,0.36,0.56,0.62,0.47,0.28,0.54,0.3,0.23,0.22,0.25,0.76,0.26,0
Y estemos con energia,0,0,0,0,0.2,0,0.18,0,0,0.19,0,0,0,0.18,0,0.13,0.15,0,0,0
Yo digo que a las 16 para asegurar que todos hayamos comido,0.25,0.16,0.18,0.43,0,0.33,0.39,0.23,0,0.61,0.15,0,0.53,0.39,0.6,0.29,0.33,0.23,0.34,1.09
Yo me adapto a la hora que digan,0,0,0.62,0.24,0,0,1.12,0,0,0,0.18,0,0.2,0,0.17,0,0.19,0.27,0,0.58
"Buena buena gente
Hoy a cual de esas horas nos juntamos?",0.53,0,0,0.3,0.32,0.23,0.28,0.33,0,0.29,0.22,0.26,0.25,0.27,0,0.2,0,0.35,0,0.32
"Ya chiquillos, coordinemonos los que podamos para poder empezar a trabajar en esto y aprovechar la proxima semana para trabajar",0.38,0.33,1.1,0.86,1.53,0.16,1.97,0.7,0.69,1.03,0.47,0.37,0.72,0.39,0.3,0.29,0.5,0.47,0.69,0.54
Para ya dividir para vencer y cerrar este ramo,0.23,0,0.17,0.59,0.39,0.6,0.54,0.21,0.31,0.37,0.14,0.17,0.16,0.89,0.14,0.52,0,0.63,0.16,0.26
"Pero los que podamos este finde, reunamonos",0,0,0.17,0.39,0.2,0.3,0.54,0.21,0.16,0.19,0,0,0.33,0.18,0.14,0,0.3,0,0.31,0.52
"yo estoy hasta el dick supremo con GPI y paralelas,",0.12,0.15,0.17,0,0,0.3,0.54,0,0,0.19,0.28,0.17,0.33,0.71,0.27,0.39,0.15,0.42,0,0
El fin de semana tenemos que intentar juntarnos un poco,0,0,0.17,0.39,0.2,0.15,0.54,0,0.16,0.37,0.14,0.17,0.16,0.18,0.55,0.13,0.15,0.21,0.16,0.26
Es velda,0,0,0.17,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0
"Tambien, pero hay que ver que puntos separar cachai?",0.23,0.3,0,0.2,0.2,0,0.9,0.21,0,0.37,0.14,0,0.65,0.18,0.41,0,0.61,0.21,0,0.52
"si, pero es mas facil y comodo separar los puntos",0.17,0,0.25,0.88,0.62,0.22,0.54,0,0.25,0.28,0.63,0.77,0,0.27,0.21,0.39,0.23,0.68,0,0.63
"Igual considero que lo ideal en este caso es avanzar todos juntos, para tener ideas en todos los procesos de la creación y desarrollo del departamento",0.12,0.16,0.52,1.62,0.82,0.46,1.12,0.66,0.32,1.17,0.44,0.18,0.51,0.74,0.85,0.14,0.79,0.22,0.16,1.33
Encontre varias paginas complementarias,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
Cómo procedemos entonces?,0.12,0.15,0,0.2,0.2,0.15,0,0,0.16,0,0.14,0.34,0,0.18,0.14,0.13,0.15,0.21,0,0
Dicho por la profe,0,0,0,0.2,0.39,0.15,0.18,0,0,0.37,0.14,0.17,0.16,0,0.27,0.13,0.15,0.21,0.16,0.26
"Exactamente, en base a lo que hemos visto en clase",0,0.15,0,0,0.2,0.15,0.54,0,0,0,0,0,0.33,0,0.14,0,0.15,0,0.16,0.26
Nuestro proyecto es crear el departamento de recursos humanos?,0.23,0,0.33,0,0.2,0.3,0.54,0.21,0.47,0,0,0,0.33,0,0.14,0.13,0.3,0,0.16,0
O sea que si no recibimos info,0.39,0,0,0.22,0.23,0.17,0.82,0.49,0.18,0,0.16,0.19,0.56,0,0.16,0.3,0.35,0.49,0.18,0.28
De hecho lo pregunte en clases por nuestro caso,0.12,0.3,0,0.2,0,0.3,0.36,0,0,0.37,0,0.17,0,0.18,0.27,0.13,0.46,0,0.31,0.79
Lo dijo el Lunes,0,0,0,0.2,0,0,0.18,0,0,0,0.14,0,0,0,0.14,0,0.15,0,0,0
Mejor pregúntale a la profe que hacer en nuestro caso que no nos dieron la ifmroqmciln,0.26,0.17,0.56,0.44,0,0.17,1.61,0.24,0.36,0.84,0.16,0.38,0.55,0.4,0.46,0.15,0.68,0.97,0.35,0.83
Estas seguro?,0,0,0,0,0.43,0.3,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0
No se si la clase pasada habrán cambiado las cosas,0,0.32,0.17,0,0,0.16,0.39,0,0.16,0.2,0,0,0,0,0.14,0,0.16,0,0.49,0.29
Ya que no me respondieron nunca la información,0,0,0,0.2,0,0.15,0.54,0,0,0.37,0,0.17,0.49,0.35,0.14,0,0.15,0,0.31,0.26
Se supone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El 14 hay que presentar,0,0,0,0,0,0,0.18,0,0,0,0,0,0.16,0,0.14,0,0.15,0,0,0
Tenemos que hacer un departamenteo de recursos humanos para una gran empresa como seria cmpc,0.35,0.45,0.17,0,0.39,0.45,0.72,0,0.31,0.56,0.28,0.34,0.82,0.18,0.55,0.26,0.61,0.63,0.31,0.52
para empezar a ordenarme,0.12,0,0,0.2,0,0.15,0,0.21,0,0.19,0,0,0,0,0,0,0,0,0,0.26
"Que pasa gente, vengo a consultar si hay algo que hacer respecto al proyecto",0,0.16,0.18,0.21,0.42,0.16,0.58,0.23,0.17,0.8,0.3,0.18,0.35,0.19,0.29,0.14,0.49,0.46,0,0.27
"o, a donde le mandaron el video?",0,0,0,0.39,0,0,0.54,0,0,0.37,0,0,0,0.18,0,0,0,0,0.16,0.52
cuál es el correo de la profe?,0,0.15,0.17,0.39,0,0.15,0.18,0,0,0.37,0.14,0.34,0.16,0.18,0.14,0,0.15,0,0.31,0.26
Vamos a tener que hacer el modelo de negocio...,0,0.55,0.61,0.72,0.49,0,0.88,0,0.39,0.46,0.17,0.21,0.6,0.65,0.5,0.32,0.37,0.8,0.19,0.57
ah lo de la clase anterior,0,0,0.17,0,0,0.3,0.18,0,0,0.19,0,0,0,0.18,0.14,0,0,0,0.16,0
habia que preparar algo ? .-.,0.14,0.19,0,0.24,0,0.19,0.45,0.27,0,0.23,0,0,0.2,0,0.17,0,0.57,0.27,0.2,0.29
en ese caso hubiera hecho un mejor trabajo xD,0.14,0,0.41,0.24,0.25,0,0.66,0.26,0.2,0.46,0.17,0,0,0,0,0,0.19,0.8,0,0.57
Pero en la programación decía hoy,0.35,0.3,0.17,0.2,0.59,0.15,0,0,0,0,0.14,0.17,0.49,0.18,0.14,0.26,0,0.21,0.47,0
Durante la clase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es que la profe subió varias veces el jueves,0.23,0.15,0.33,0.2,0.2,0.15,0.18,0.43,0.31,0.56,0.14,0.17,0.49,0.18,0.41,0,0.3,0.42,0.16,0.79
. (por eso),0,0.15,0,0,0.2,0.15,0.18,0,0,0.19,0,0,0.16,0,0,0.13,0,0,0,0.26
igual pregunté a otros locos y me dijeron que era hoy,0,0.34,0.36,0.92,0.21,0.35,0.62,0.46,0.16,0.61,0.15,0.19,0.19,0.19,0.15,0.31,0.33,0.67,0.17,0
Yo asumo que el plazo máximo es hoy,0.12,0.15,0,0.39,0.2,0.15,0.54,0,0.16,0.19,0,0,0.33,0.18,0.14,0,0.3,0,0.47,0.52
Creo que hasta el jueves,0,0,0,0,0,0,0.36,0,0,0.19,0,0,0.16,0,0.14,0,0.15,0,0,0
De lo que sea,0.12,0,0,0,0,0,0.18,0.21,0,0,0,0,0.16,0,0.14,0.13,0.3,0,0,0
Pd: El video podia ser un tutorial de cualquier wea?,0.35,0.3,0.5,0.39,0.39,0.3,0.72,0.21,0.16,0.75,0,0.17,0,0.18,0.27,0.26,0.3,0.63,0.79,0.52
En una parte que definio la profe o se manda,0.46,0.15,0.17,0.39,0.2,0.15,0.54,0.21,0.31,0.56,0.14,0.17,0.33,0.18,0.27,0.26,0.3,0.42,0,0.26
Creo que se sube,0,0,0,0,0,0,0.36,0,0,0,0,0,0.16,0,0.14,0,0.15,0,0,0
1 de 2,0,0,0.17,0,0,0,0.18,0,0,0,0,0,0,0.18,0,0,0,0.21,0.16,0
2. Ser mina,0,0,0.17,0,0,0.15,0,0.21,0.16,0,0,0.17,0,0,0,0.13,0,0.21,0,0
